Date,Close,name,price
200000000000 ,5.27,TSMC,0.627380952
200000000000 ,5.09,TSMC,0.605952381
200000000000 ,4.96,TSMC,0.59047619
200313 ,5.1,TSMC,0.607142857
2003110 ,5.48,TSMC,0.652380952
2003117 ,5.19,TSMC,0.617857143
2003124 ,5.3,TSMC,0.630952381
2003131 ,4.59,TSMC,0.546428571
200327 ,4.57,TSMC,0.544047619
2003214 ,4.69,TSMC,0.558333333
2003221 ,5.11,TSMC,0.608333333
2003228 ,4.85,TSMC,0.577380952
200337 ,4.76,TSMC,0.566666667
2003314 ,5.27,TSMC,0.627380952
2003321 ,5.81,TSMC,0.691666667
2003328 ,5.06,TSMC,0.602380952
200344 ,5.13,TSMC,0.610714286
2003411 ,5.05,TSMC,0.601190476
2003417 ,5.35,TSMC,0.636904762
2003425 ,5.19,TSMC,0.617857143
200352 ,6.06,TSMC,0.721428571
200359 ,5.98,TSMC,0.711904762
2003516 ,6.13,TSMC,0.729761905
2003523 ,5.91,TSMC,0.703571429
2003530 ,6.94,TSMC,0.826190476
200366 ,7.28,TSMC,0.866666667
2003613 ,6.84,TSMC,0.814285714
2003620 ,7.19,TSMC,0.855952381
2003627 ,6.82,TSMC,0.811904762
200373 ,7.41,TSMC,0.882142857
2003711 ,8.07,TSMC,0.960714286
2003718 ,7.87,TSMC,0.936904762
2003725 ,7.86,TSMC,0.935714286
200381 ,8.06,TSMC,0.95952381
200388 ,7.54,TSMC,0.897619048
2003815 ,8.18,TSMC,0.973809524
2003822 ,9.15,TSMC,1.089285714
2003829 ,9.4,TSMC,1.119047619
200395 ,9.81,TSMC,1.167857143
2003912 ,9.62,TSMC,1.145238095
2003919 ,9.24,TSMC,1.1
2003926 ,8.66,TSMC,1.030952381
2003103 ,9.56,TSMC,1.138095238
200000000000 ,9.37,TSMC,1.11547619
200000000000 ,8.87,TSMC,1.055952381
200000000000 ,8.37,TSMC,0.996428571
200000000000 ,8.83,TSMC,1.051190476
2003117 ,9.12,TSMC,1.085714286
200000000000 ,8.69,TSMC,1.03452381
200000000000 ,8.54,TSMC,1.016666667
200000000000 ,8.68,TSMC,1.033333333
2003125 ,8.61,TSMC,1.025
200000000000 ,8.06,TSMC,0.95952381
200000000000 ,7.9,TSMC,0.94047619
200000000000 ,7.88,TSMC,0.938095238
200412 ,8.53,TSMC,1.01547619
200419 ,9.06,TSMC,1.078571429
2004116 ,9.05,TSMC,1.077380952
2004123 ,8.78,TSMC,1.045238095
2004130 ,8.93,TSMC,1.063095238
200426 ,8.83,TSMC,1.051190476
2004213 ,8.49,TSMC,1.010714286
2004220 ,8.31,TSMC,0.989285714
2004227 ,8.29,TSMC,0.986904762
200435 ,8.94,TSMC,1.064285714
2004312 ,8.41,TSMC,1.001190476
2004319 ,8.13,TSMC,0.967857143
2004326 ,7.97,TSMC,0.948809524
200442 ,8.41,TSMC,1.001190476
200448 ,8.37,TSMC,0.996428571
2004416 ,8.25,TSMC,0.982142857
2004423 ,8.98,TSMC,1.069047619
2004430 ,7.61,TSMC,0.905952381
200457 ,7.64,TSMC,0.90952381
2004514 ,7.52,TSMC,0.895238095
2004521 ,7.5,TSMC,0.892857143
2004528 ,8.1,TSMC,0.964285714
200464 ,7.46,TSMC,0.888095238
2004610 ,7.25,TSMC,0.863095238
2004618 ,6.74,TSMC,0.802380952
2004625 ,7.26,TSMC,0.864285714
200472 ,7.11,TSMC,0.846428571
200479 ,7.15,TSMC,0.851190476
2004716 ,6.39,TSMC,0.760714286
2004723 ,6.12,TSMC,0.728571429
2004730 ,6.49,TSMC,0.772619048
200486 ,6.25,TSMC,0.744047619
2004813 ,6.26,TSMC,0.745238095
2004820 ,6.8,TSMC,0.80952381
2004827 ,7,TSMC,0.833333333
200493 ,6.43,TSMC,0.76547619
2004910 ,6.95,TSMC,0.827380952
2004917 ,6.87,TSMC,0.817857143
2004924 ,6.64,TSMC,0.79047619
2004101 ,6.83,TSMC,0.813095238
2004108 ,6.42,TSMC,0.764285714
200000000000 ,6.31,TSMC,0.751190476
200000000000 ,6.41,TSMC,0.763095238
200000000000 ,6.9,TSMC,0.821428571
2004115 ,7.54,TSMC,0.897619048
200000000000 ,7.47,TSMC,0.889285714
200000000000 ,7.69,TSMC,0.91547619
200000000000 ,7.42,TSMC,0.883333333
2004123 ,7.54,TSMC,0.897619048
200000000000 ,7.17,TSMC,0.853571429
200000000000 ,7.47,TSMC,0.889285714
200000000000 ,7.59,TSMC,0.903571429
200000000000 ,7.73,TSMC,0.920238095
200517 ,7.19,TSMC,0.855952381
2005114 ,7.21,TSMC,0.858333333
2005121 ,7.13,TSMC,0.848809524
2005128 ,7.48,TSMC,0.89047619
200524 ,8.23,TSMC,0.979761905
2005211 ,8.38,TSMC,0.997619048
2005218 ,8.17,TSMC,0.972619048
2005225 ,8.59,TSMC,1.022619048
200534 ,8.02,TSMC,0.954761905
2005311 ,7.96,TSMC,0.947619048
2005318 ,7.75,TSMC,0.922619048
2005324 ,7.63,TSMC,0.908333333
200541 ,7.8,TSMC,0.928571429
200548 ,7.86,TSMC,0.935714286
2005415 ,7.46,TSMC,0.888095238
2005422 ,7.38,TSMC,0.878571429
2005429 ,7.84,TSMC,0.933333333
200556 ,8.22,TSMC,0.978571429
2005513 ,8.22,TSMC,0.978571429
2005520 ,8.47,TSMC,1.008333333
2005527 ,8.39,TSMC,0.998809524
200563 ,8.68,TSMC,1.033333333
2005610 ,8.84,TSMC,1.052380952
2005617 ,8.78,TSMC,1.045238095
2005624 ,8.96,TSMC,1.066666667
200571 ,8.78,TSMC,1.045238095
200578 ,8.51,TSMC,1.013095238
2005715 ,8.95,TSMC,1.06547619
2005722 ,8.81,TSMC,1.048809524
2005729 ,8.22,TSMC,0.978571429
200585 ,8.19,TSMC,0.975
2005812 ,8.23,TSMC,0.979761905
2005819 ,8.01,TSMC,0.953571429
2005826 ,7.94,TSMC,0.945238095
200592 ,7.9,TSMC,0.94047619
200599 ,8,TSMC,0.952380952
2005916 ,7.89,TSMC,0.939285714
2005923 ,7.63,TSMC,0.908333333
2005930 ,7.86,TSMC,0.935714286
2005107 ,8.05,TSMC,0.958333333
201000000000 ,7.58,TSMC,0.902380952
201000000000 ,7.46,TSMC,0.888095238
201000000000 ,7.64,TSMC,0.90952381
2005114 ,8.2,TSMC,0.976190476
201000000000 ,8.46,TSMC,1.007142857
201000000000 ,8.72,TSMC,1.038095238
201000000000 ,8.98,TSMC,1.069047619
2005122 ,9.28,TSMC,1.104761905
2005129 ,9.36,TSMC,1.114285714
201000000000 ,9.28,TSMC,1.104761905
201000000000 ,9.65,TSMC,1.148809524
201000000000 ,9.48,TSMC,1.128571429
200616 ,10.33,TSMC,1.229761905
2006113 ,9.94,TSMC,1.183333333
2006120 ,9.44,TSMC,1.123809524
2006127 ,10.35,TSMC,1.232142857
200623 ,9.83,TSMC,1.170238095
2006210 ,9.8,TSMC,1.166666667
2006217 ,9.55,TSMC,1.136904762
2006224 ,9.46,TSMC,1.126190476
200633 ,9.37,TSMC,1.11547619
2006310 ,9.22,TSMC,1.097619048
2006317 ,9.16,TSMC,1.09047619
2006324 ,9.21,TSMC,1.096428571
2006331 ,9.62,TSMC,1.145238095
200647 ,9.98,TSMC,1.188095238
2006413 ,10.09,TSMC,1.201190476
2006421 ,10.33,TSMC,1.229761905
2006428 ,10.02,TSMC,1.192857143
200655 ,10.77,TSMC,1.282142857
2006512 ,9.72,TSMC,1.157142857
2006519 ,9.42,TSMC,1.121428571
2006526 ,8.95,TSMC,1.06547619
200662 ,9.36,TSMC,1.114285714
200669 ,8.4,TSMC,1
2006616 ,8.69,TSMC,1.03452381
2006623 ,8.58,TSMC,1.021428571
2006630 ,9.04,TSMC,1.076190476
200677 ,8.63,TSMC,1.027380952
2006714 ,8.37,TSMC,0.996428571
2006721 ,7.88,TSMC,0.938095238
2006728 ,8.55,TSMC,1.017857143
200684 ,8.42,TSMC,1.002380952
2006811 ,8.52,TSMC,1.014285714
2006818 ,9.34,TSMC,1.111904762
2006825 ,8.81,TSMC,1.048809524
200691 ,9.2,TSMC,1.095238095
200698 ,8.83,TSMC,1.051190476
2006915 ,9.37,TSMC,1.11547619
2006922 ,9.36,TSMC,1.114285714
2006929 ,9.46,TSMC,1.126190476
2006106 ,9.57,TSMC,1.139285714
201000000000 ,10.15,TSMC,1.208333333
201000000000 ,9.6,TSMC,1.142857143
201000000000 ,9.56,TSMC,1.138095238
2006113 ,9.41,TSMC,1.120238095
201000000000 ,9.34,TSMC,1.111904762
201000000000 ,9.83,TSMC,1.170238095
201000000000 ,10.32,TSMC,1.228571429
2006121 ,10.46,TSMC,1.245238095
2006128 ,10.76,TSMC,1.280952381
201000000000 ,10.58,TSMC,1.25952381
201000000000 ,10.59,TSMC,1.260714286
201000000000 ,10.77,TSMC,1.282142857
200715 ,10.53,TSMC,1.253571429
2007112 ,11.08,TSMC,1.319047619
2007119 ,11.12,TSMC,1.323809524
2007126 ,10.77,TSMC,1.282142857
200722 ,10.78,TSMC,1.283333333
200729 ,10.79,TSMC,1.28452381
2007216 ,11.06,TSMC,1.316666667
2007223 ,11.22,TSMC,1.335714286
200732 ,10.48,TSMC,1.247619048
200739 ,10.59,TSMC,1.260714286
2007316 ,10.86,TSMC,1.292857143
2007323 ,11.2,TSMC,1.333333333
2007330 ,10.59,TSMC,1.260714286
200745 ,10.81,TSMC,1.286904762
2007413 ,10.54,TSMC,1.254761905
2007420 ,10.36,TSMC,1.233333333
2007427 ,10.53,TSMC,1.253571429
200754 ,10.54,TSMC,1.254761905
2007511 ,10.26,TSMC,1.221428571
2007518 ,10.37,TSMC,1.23452381
2007525 ,10.31,TSMC,1.227380952
200761 ,10.92,TSMC,1.3
200768 ,10.47,TSMC,1.246428571
2007615 ,10.71,TSMC,1.275
2007622 ,10.87,TSMC,1.294047619
2007629 ,11.02,TSMC,1.311904762
200776 ,11.37,TSMC,1.353571429
2007713 ,11.54,TSMC,1.373809524
2007720 ,10.79,TSMC,1.28452381
2007727 ,10,TSMC,1.19047619
200783 ,9.6,TSMC,1.142857143
2007810 ,9.8,TSMC,1.166666667
2007817 ,9.6,TSMC,1.142857143
2007824 ,9.94,TSMC,1.183333333
2007831 ,9.82,TSMC,1.169047619
200797 ,9.62,TSMC,1.145238095
2007914 ,9.88,TSMC,1.176190476
2007921 ,10.15,TSMC,1.208333333
2007928 ,10.02,TSMC,1.192857143
2007105 ,10.58,TSMC,1.25952381
201000000000 ,9.94,TSMC,1.183333333
201000000000 ,9.64,TSMC,1.147619048
201000000000 ,9.81,TSMC,1.167857143
2007112 ,10.29,TSMC,1.225
2007119 ,9.71,TSMC,1.155952381
201000000000 ,9.65,TSMC,1.148809524
201000000000 ,9.4,TSMC,1.119047619
201000000000 ,9.82,TSMC,1.169047619
2007127 ,10.2,TSMC,1.214285714
201000000000 ,9.55,TSMC,1.136904762
201000000000 ,9.71,TSMC,1.155952381
201000000000 ,9.8,TSMC,1.166666667
200814 ,8.84,TSMC,1.052380952
2008111 ,8.8,TSMC,1.047619048
2008118 ,8.55,TSMC,1.017857143
2008125 ,8.61,TSMC,1.025
200821 ,9.65,TSMC,1.148809524
200828 ,9.15,TSMC,1.089285714
2008215 ,9.61,TSMC,1.144047619
2008222 ,9.58,TSMC,1.14047619
2008229 ,9.64,TSMC,1.147619048
200837 ,9.97,TSMC,1.186904762
2008314 ,9.78,TSMC,1.164285714
2008320 ,10.22,TSMC,1.216666667
2008328 ,10.07,TSMC,1.198809524
200844 ,10.33,TSMC,1.229761905
2008411 ,10.18,TSMC,1.211904762
2008418 ,10.96,TSMC,1.304761905
2008425 ,10.62,TSMC,1.264285714
200852 ,11.18,TSMC,1.330952381
200859 ,10.85,TSMC,1.291666667
2008516 ,11.53,TSMC,1.372619048
2008523 ,10.78,TSMC,1.283333333
2008530 ,11.34,TSMC,1.35
200866 ,11.48,TSMC,1.366666667
2008613 ,11.12,TSMC,1.323809524
2008620 ,10.69,TSMC,1.272619048
2008627 ,10.76,TSMC,1.280952381
200873 ,10.15,TSMC,1.208333333
2008711 ,10.2,TSMC,1.214285714
2008718 ,10.19,TSMC,1.213095238
2008725 ,9.97,TSMC,1.186904762
200881 ,9.49,TSMC,1.129761905
200888 ,10.46,TSMC,1.245238095
2008815 ,10.52,TSMC,1.252380952
2008822 ,10.19,TSMC,1.213095238
2008829 ,9.66,TSMC,1.15
200895 ,8.99,TSMC,1.070238095
